Virus	Size(bp)	Family
Lokiarchaeota Virus Fenrir Meg22_1012	89152	Asgard Virus
Lokiarchaeota Virus Fenrir Meg22_1214	89063	Asgard Virus
Lokiarchaeota Virus Sköll Meg22_1214	39909	Asgard Virus
Helarchaeota Virus Ratatoskr Meg22_1012	66636	Asgard Virus
Helarchaeota Virus Nidhogg Meg22_1012	117419	Asgard Virus
Helarchaeota Virus Nidhogg Meg22_1214	112862	Asgard Virus
Acidianus bottle-shaped virus	23900	Archaea virus
Acidianus two-tailed virus	62730	Archaea virus
Sulfolobus spindle-shaped virus 1	15465	Archaea virus
Aeropyrum pernix ovoid virus 1‡	13769	Archaea virus
Sulfolobus islandicus rod-shaped virus 2	35450	Archaea virus
cidianus filamentous virus 1	21080	Archaea virus
Pyrobaculum filamentous virus 1	17714	Archaea virus
Aeropyrum pernix bacilliform virus 1	5278	Archaea virus
Pyrobaculum spherical virus	28337	Archaea virus
Sulfolobus polyhedral virus 1	20222	Archaea virus
Halorubrum sodomense tailed virus 2	68187	Archaea virus
Haloarcula vallismortis tailed virus 1	10232	Archaea virus
Haloarcula sinaiiensis tailed virus 1	32189	Archaea virus
Haloarcula hispanica virus SH1	30898	Archaea virus
Sulfolobus turreted icosahedral virus	17663	Archaea virus
HCTV-1	103257	Archaea virus
HCTV-2	54291	Archaea virus
HCTV-5	102105	Archaea virus
HGTV-1	143855	Archaea virus
HHTV-1	49107	Archaea virus
HHTV-2	52643	Archaea virus
HRTV-4	35722	Archaea virus
HRTV-5	76134	Archaea virus
HRTV-7	69048	Archaea virus
HRTV-8	74519	Archaea virus
